127.0.0.1 - - [18/Jul/2022:23:17:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/index.jsp HTTP/1.1" 200 32261
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/s9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /SHOES/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:54 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:17:57 +0530] "GET /SHOES/customer-login.jsp HTTP/1.1" 200 12219
0:0:0:0:0:0:0:1 - - [18/Jul/2022:23:18:08 +0530] "POST /SHOES/CustomerController HTTP/1.1" 200 32115
