0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/instagram/instagram-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/instagram/instagram-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/instagram/instagram-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/instagram/instagram-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/blog/blog-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/blog/blog-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/blog/blog-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/hero/hero-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /male_fashion/img/hero/hero-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2022:16:09:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
